record_id,student_id,enrollment_date,academic_standing,current_gpa,credit_hours_attempted,credit_hours_earned,major_code,advisor_id,financial_aid_amount,last_login_date,total_course_views,assignment_submissions,discussion_posts,avg_assignment_score,course_completion_rate,plagiarism_incidents,writing_quality_score,engagement_score,at_risk_flag,intervention_count,last_updated
13,STU013,2022-08-20,At Risk,2.35,69,56,PHYS,ADV109,21000.00,2023-12-18 11:23:56,412,24,19,66.5,0.81,1,60,45,TRUE,3,2024-01-08 09:15:22
14,STU014,2023-08-15,Good Standing,3.56,48,45,NURS,ADV105,19500.00,2024-01-07 20:12:33,1678,44,85,87.3,0.94,0,81,88,FALSE,0,2024-01-08 09:15:22
15,STU015,2021-08-18,Good Standing,3.41,105,99,ECON,ADV110,9000.00,2024-01-08 08:56:11,1834,95,121,84.6,0.94,0,79,86,FALSE,1,2024-01-08 09:15:22
16,STU016,2023-08-15,Probation,2.28,39,32,ART,ADV106,20500.00,2023-12-12 13:45:22,267,19,11,65.9,0.82,0,59,41,TRUE,4,2024-01-08 09:15:22
17,STU017,2022-08-20,Dean's List,3.85,75,75,COMP,ADV101,11000.00,2024-01-08 07:45:22,2098,72,98,91.3,1.00,0,88,94,FALSE,0,2024-01-08 09:15:22
18,STU018,2023-08-15,Good Standing,3.29,42,39,POLI,ADV111,15500.00,2024-01-07 16:34:11,1289,37,64,82.1,0.93,0,76,80,FALSE,0,2024-01-08 09:15:22
19,STU019,2021-08-18,Good Standing,3.62,112,106,ENGR,ADV102,8500.00,2024-01-08 10:23:45,1923,101,142,88.2,0.95,0,83,90,FALSE,0,2024-01-08 09:15:22
20,STU020,2023-08-15,At Risk,2.51,36,28,BIOL,ADV112,23000.00,2023-12-22 09:12:34,356,17,14,69.4,0.78,1,63,47,TRUE,3,2024-01-08 09:15:22
21,STU021,2022-08-20,Good Standing,3.48,78,75,BUSN,ADV103,13000.00,2024-01-07 22:15:11,1567,73,88,86.1,0.96,0,80,85,FALSE,1,2024-01-08 09:15:22
22,STU022,2023-08-15,Dean's List,3.92,45,45,MATH,ADV107,10500.00,2024-01-08 06:45:23,2012,46,108,93.8,1.00,0,92,97,FALSE,0,2024-01-08 09:15:22
23,STU023,2022-08-20,Probation,2.19,66,54,SOCL,ADV104,19500.00,2023-11-28 15:23:44,312,20,13,63.7,0.82,1,57,39,TRUE,5,2024-01-08 09:15:22
24,STU024,2023-08-15,Good Standing,3.37,39,36,NURS,ADV108,18000.00,2024-01-07 17:56:22,1389,40,73,83.9,0.92,0,78,82,FALSE,0,2024-01-08 09:15:22
25,STU025,2021-08-18,Dean's List,3.81,120,117,CHEM,ADV105,7000.00,2024-01-08 09:12:11,2156,115,149,90.3,0.98,0,86,92,FALSE,0,2024-01-08 09:15:22
26,STU026,2023-08-15,Good Standing,3.18,42,39,ENGL,ADV109,16500.00,2024-01-06 14:23:34,1198,36,79,80.5,0.93,0,83,77,FALSE,0,2024-01-08 09:15:22
27,STU027,2022-08-20,At Risk,2.42,72,59,PHYS,ADV110,20000.00,2023-12-19 12:45:11,389,23,17,67.2,0.82,1,61,44,TRUE,3,2024-01-08 09:15:22
28,STU028,2023-08-15,Good Standing,3.54,48,45,COMP,ADV106,14500.00,2024-01-07 19:12:45,1701,43,87,86.9,0.94,0,82,89,FALSE,0,2024-01-08 09:15:22
29,STU029,2021-08-18,Good Standing,3.45,108,102,ECON,ADV111,9500.00,2024-01-08 08:34:22,1876,98,127,85.4,0.94,0,80,87,FALSE,1,2024-01-08 09:15:22
30,STU030,2023-08-15,Probation,2.33,39,31,ART,ADV101,21500.00,2023-12-14 10:56:33,298,18,12,66.8,0.79,0,60,43,TRUE,4,2024-01-08 09:15:22
31,STU031,2022-08-20,Dean's List,3.87,81,81,BUSN,ADV112,11500.00,2024-01-08 07:23:11,2134,78,101,91.8,1.00,0,89,95,FALSE,0,2024-01-08 09:15:22
32,STU032,2023-08-15,Good Standing,3.26,42,39,HIST,ADV102,15000.00,2024-01-07 16:12:23,1267,38,66,81.7,0.93,0,75,79,FALSE,0,2024-01-08 09:15:22
33,STU033,2021-08-18,Good Standing,3.59,114,108,ENGR,ADV107,8000.00,2024-01-08 10:45:34,1989,105,138,87.6,0.95,0,84,91,FALSE,0,2024-01-08 09:15:22
34,STU034,2023-08-15,At Risk,2.48,36,29,BIOL,ADV103,22500.00,2023-12-21 11:34:22,334,16,13,68.9,0.81,1,62,46,TRUE,3,2024-01-08 09:15:22
35,STU035,2022-08-20,Good Standing,3.51,75,72,NURS,ADV108,13500.00,2024-01-07 21:23:11,1612,71,91,86.4,0.96,0,81,86,FALSE,1,2024-01-08 09:15:22
36,STU036,2023-08-15,Dean's List,3.94,48,48,MATH,ADV104,10000.00,2024-01-08 06:34:45,2067,47,111,94.2,1.00,0,93,98,FALSE,0,2024-01-08 09:15:22
37,STU037,2022-08-20,Probation,2.11,69,56,POLI,ADV109,19000.00,2023-11-29 14:12:33,278,21,14,62.8,0.81,2,56,37,TRUE,5,2024-01-08 09:15:22
38,STU038,2023-08-15,Good Standing,3.39,39,36,CHEM,ADV105,17500.00,2024-01-07 18:45:22,1434,39,75,84.1,0.92,0,79,83,FALSE,0,2024-01-08 09:15:22
39,STU039,2021-08-18,Dean's List,3.76,116,113,COMP,ADV110,7500.00,2024-01-08 09:56:11,2198,110,153,89.1,0.97,0,85,92,FALSE,0,2024-01-08 09:15:22
40,STU040,2023-08-15,Good Standing,3.14,42,39,ENGL,ADV106,16000.00,2024-01-06 15:23:45,1156,35,80,79.3,0.93,0,82,75,FALSE,0,2024-01-08 09:15:22
41,STU041,2022-08-20,At Risk,2.39,66,53,SOCL,ADV111,21000.00,2023-12-17 13:12:11,401,22,18,66.1,0.80,1,59,43,TRUE,4,2024-01-08 09:15:22
42,STU042,2023-08-15,Good Standing,3.58,45,42,BUSN,ADV101,14000.00,2024-01-07 20:34:33,1723,42,89,87.8,0.93,0,83,90,FALSE,0,2024-01-08 09:15:22
43,STU043,2021-08-18,Good Standing,3.43,110,104,ECON,ADV112,9000.00,2024-01-08 08:12:22,1845,99,129,84.9,0.95,0,78,85,FALSE,1,2024-01-08 09:15:22
44,STU044,2023-08-15,Probation,2.26,39,32,ART,ADV102,20500.00,2023-12-13 10:45:11,289,19,11,65.3,0.82,0,58,40,TRUE,4,2024-01-08 09:15:22
45,STU045,2022-08-20,Dean's List,3.83,78,78,ENGR,ADV107,12000.00,2024-01-08 07:12:34,2089,75,96,90.7,1.00,0,87,93,FALSE,0,2024-01-08 09:15:22
46,STU046,2023-08-15,Good Standing,3.31,42,39,PHYS,ADV103,15500.00,2024-01-07 17:23:11,1312,37,68,82.6,0.93,0,77,81,FALSE,0,2024-01-08 09:15:22
47,STU047,2021-08-18,Good Standing,3.64,118,112,NURS,ADV108,8500.00,2024-01-08 10:12:45,1967,107,145,88.7,0.95,0,84,91,FALSE,0,2024-01-08 09:15:22
48,STU048,2023-08-15,At Risk,2.53,36,28,BIOL,ADV104,23500.00,2023-12-23 09:34:22,367,17,15,70.1,0.78,1,64,48,TRUE,3,2024-01-08 09:15:22
49,STU049,2022-08-20,Good Standing,3.46,81,78,COMP,ADV109,13000.00,2024-01-07 22:45:33,1589,74,93,85.8,0.96,0,79,84,FALSE,1,2024-01-08 09:15:22
50,STU050,2023-08-15,Dean's List,3.96,48,48,MATH,ADV105,10500.00,2024-01-08 06:23:11,2123,48,115,94.6,1.00,0,94,99,FALSE,0,2024-01-08 09:15:22
